2025-10-16|11:00:00|Birthday Party Deposit|AH Gymnastics|200.00
2025-10-15|19:20:00|Refund from Vendor|Beam & Bars Supply|25.00
2025-10-13|14:05:00|Team Hoodie|Pro Shop|45.00
2025-10-12|09:10:45|Meet Registration Fee|USAG|-95.00
2025-10-10|16:00:00|Wrist Wraps|FlexiWraps|-14.50
2025-10-08|17:30:00|Private Lesson - 60 min|AH Gymnastics|65.00
2025-10-05|08:45:00|Chalk block|Chalk Depot|-12.50
2025-10-02|13:05:10|Leotard sale (Sparkle)|Pro Shop|39.99
2025-10-01|09:20:00|Monthly Tuition - Level 4|AH Gymnastics|150.00
2025-10-01|09:15:00|Monthly Tuition - Level 3|AH Gymnastics|140.00

2025-09-30|10:13:25|Monthly Tuition - Level 4|AH Gymnastics|150.00
2025-09-25|12:25:00|Equipment Maintenance|GymTech Repairs|-180.00
2025-09-18|18:05:00|Private Lesson - 30 min|AH Gymnastics|35.00
2025-09-10|15:40:00|Leotard sale (Galaxy)|SparkleWear Leotards|42.00
2025-09-03|09:00:00|Chalk bag|Chalk Depot|-18.75

2025-06-20|16:45:00|Wrist Wraps|FlexiWraps|-14.50
2025-06-15|10:00:00|Team T-Shirt|Pro Shop|22.00
2025-03-05|13:30:00|Meet Registration Fee|MeetHost Co|-120.00
2025-03-01|09:10:00|Monthly Tuition - Level 2|AH Gymnastics|130.00
2025-01-10|08:10:00|Uniform Fee|Team Apparel Co|-75.00
2025-01-05|09:05:00|Monthly Tuition - Level 1|AH Gymnastics|120.00

2024-11-12|14:50:00|Leotard sale (Holiday)|Pro Shop|49.99
2024-10-01|09:15:00|Monthly Tuition - Level 3|AH Gymnastics|140.00
2024-06-22|11:30:00|Equipment Maintenance|GymTech Repairs|-220.00
2024-05-14|18:15:00|Private Lesson - 60 min|AH Gymnastics|65.00
2024-03-09|12:00:00|Chalk block|Chalk Depot|-12.50
2024-02-01|09:20:00|Monthly Tuition - Level 4|AH Gymnastics|150.00

2023-12-10|10:00:00|Donation|Parent Booster Club|300.00
2023-08-19|16:00:00|Beam pads|Beam & Bars Supply|-95.00
2023-05-01|09:00:00|Monthly Tuition - Level 1|AH Gymnastics|120.00

